SuperSector,Feb2020_total,Feb2020_women,Feb2021_total,Feb2021_women
Mining and logging,690,89,590,81
Construction,7648,996,7356,992
Manufacturing: Durable Goods,8007,1947,7590,1862
Manufacturing: Nondurable Goods,4792,1724,4641,1654
Wholesale trade,5895.2,1770.9,5637.6,1689.3
Retail trade,15609.8,7736.9,15206.3,7374.9
Transportation and warehousing,5823.1,1517.3,5709.5,1453.7
Utilities,547.4,133.3,539.3,133.6
Information,2914,1154,2675,1065
Financial Activities,8875,5015,8772,4968
Professional and business services,21469,9845,20718,9566
Education and health services,24565,19016,23292,18014
Leisure and hospitality,16915,9004,13501,7195
Other services,5937,3170,5499,2931
Government,22835,13191,21477,12373