Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1948,446,650,592,561,491,592,604,635,580,510,553,554
1949,628,708,629,724,820,865,1007,1025,955,889,965,878
1950,1103,1092,978,823,827,928,838,720,756,658,838,684
1951,779,754,794,681,658,644,622,588,720,670,746,616
1952,646,678,552,560,578,514,541,576,522,530,564,442
1953,520,484,538,454,404,424,432,458,556,506,633,708
1954,1013,1031,1101,1061,1048,1005,987,1006,1075,854,1008,777
1955,982,894,795,799,781,776,761,839,842,811,843,753
1956,848,756,848,828,857,838,986,847,801,739,865,767
1957,941,846,768,709,798,831,833,798,806,771,951,799
1958,1156,1332,1276,1373,1325,1326,1314,1343,1225,1133,1075,1023
1959,1266,1237,1180,1046,1010,1010,1046,985,971,1037,1026,947
1960,1097,1018,1054,978,955,1067,1132,1092,1019,1110,1262,1174
1961,1391,1533,1479,1411,1370,1486,1451,1309,1316,1319,1233,1113
1962,1363,1245,1205,1084,1048,1131,1138,1271,1244,1139,1205,1030
1963,1300,1319,1198,1147,1140,1216,1200,1271,1254,1203,1272,1073
1964,1375,1400,1322,1214,1096,1198,1132,1193,1163,1120,1164,966
1965,1154,1306,1123,1033,940,1151,1013,1105,1011,963,1040,838
1966,1012,963,888,840,880,939,868,1001,956,966,896,843
1967,1180,1103,1044,972,897,1103,1056,1055,1287,1231,1076,929
1968,1105,1127,988,903,845,1020,994,1036,1050,977,956,818
1969,1031,1061,964,967,867,1058,987,1119,1202,1097,994,840
1970,1086,1238,1264,1171,1206,1303,1393,1463,1601,1495,1561,1404
1971,1705,1739,1667,1599,1516,1625,1629,1809,1831,1665,1659,1457
1972,1707,1607,1616,1522,1565,1657,1717,1789,1814,1698,1481,1330
1973,1646,1596,1496,1386,1302,1524,1547,1632,1668,1421,1475,1396
1974,1706,1715,1586,1477,1500,1648,1745,1856,2067,1856,2104,2061
1975,2809,2783,2748,2642,2628,2714,2699,2776,2795,2673,2558,2394
1976,2784,2751,2521,2372,2202,2469,2686,2815,2831,2661,2590,2383
1977,2670,2771,2628,2381,2224,2556,2512,2690,2726,2493,2544,2232
1978,2494,2315,2217,2100,2116,2319,2491,2432,2470,2191,2241,2117
1979,2370,2392,2255,2077,2047,2255,2233,2539,2394,2341,2231,2171
1980,2487,2449,2300,2387,2474,2667,2791,2904,2737,2849,2723,2613
1981,2950,2825,2717,2593,2703,2836,2938,2975,3064,3092,3063,2991
1982,3269,3352,3346,3328,3406,3565,3769,3818,3821,3882,3946,3849
1983,4173,4000,3823,3524,3587,3855,3606,3739,3620,3417,3180,3055
1984,3335,3176,3091,2969,2990,2970,3246,3378,3135,3226,2980,2790
1985,3303,3167,3122,3002,3089,3148,3238,3358,3328,3090,2952,2757
1986,3049,3237,3111,2927,3022,3101,3109,3214,3167,3044,2860,2546
1987,2996,2916,2843,2579,2621,2606,2753,2843,2833,2644,2525,2346
1988,2684,2693,2425,2303,2409,2448,2643,2633,2616,2430,2379,2186
1989,2563,2396,2341,2277,2396,2526,2712,2648,2518,2494,2430,2302
1990,2588,2592,2417,2382,2404,2429,2688,2832,2838,2664,2688,2630
1991,2968,3009,2962,2774,3040,3165,3104,3313,3178,3142,3129,3107
1992,3397,3447,3328,3229,3286,3577,3799,3867,3655,3360,3310,3369
1993,3643,3419,3108,3118,3146,3385,3458,3468,3330,3244,3135,3005
1994,3462,3272,3275,2938,2894,3106,3150,3289,3136,2829,2776,2467
1995,2944,2787,2749,2762,2578,2900,3100,3102,2934,2864,2652,2456
1996,3088,2774,2701,2555,2677,2741,3052,2966,2772,2723,2705,2640
1997,2898,2788,2718,2406,2520,2645,2708,2811,2666,2380,2292,2187
1998,2750,2595,2554,2213,2218,2449,2532,2639,2449,2326,2302,2065
1999,2447,2398,2381,2250,2086,2397,2573,2475,2299,2054,2127,1935
2000,2447,2263,2324,2024,2225,2399,2483,2570,2207,1977,2036,1861
2001,2430,2362,2319,2210,2274,2519,2671,2931,2820,2816,2921,2912
2002,3278,3261,3192,3194,3165,3327,3495,3457,3176,3137,3058,2997
2003,3284,3344,3285,3101,3170,3483,3584,3663,3434,3245,3144,3031
2004,3385,3240,3333,3012,2935,3378,3418,3259,3081,3006,2954,2802
2005,3136,3119,2930,2869,2863,3148,3339,3078,3095,2930,2938,2707
2006,2933,2845,2663,2668,2556,2842,3123,2929,2858,2540,2630,2424
2007,2797,2567,2478,2443,2406,2724,3110,3008,2855,2729,2739,2757
2008,2970,2851,2974,2724,3008,3323,3546,3979,3486,3620,3791,3838
2009,4531,4632,4760,4639,4942,5426,5811,5739,5549,5404,5262,5187
2010,5553,5481,5430,5355,5352,5484,5942,5921,5616,5487,5595,5190
2011,5542,5451,5223,5130,5305,5648,5909,5870,5737,5371,5140,5070
2012,5451,5337,4998,4820,4936,5322,5700,5480,4968,4961,4698,4828
2013,5189,4891,4637,4300,4343,4918,4902,4692,4405,4403,4137,3960
2014,4228,4175,4232,3648,3809,3843,4386,4266,3893,3800,3567,3262
2015,3660,3468,3352,3206,3381,3433,3854,3585,3239,3209,3147,2924
2016,3338,3213,3248,2983,2870,3288,3389,3514,3193,3064,2906,2810
2017,3240,3072,2795,2707,2745,2989,3267,3210,2849,2571,2509,2462
2018,2717,2762,2602,2307,2258,2802,3028,2902,2422,2412,2383,2345
2019,2754,2546,2399,2055,2191,2583,2853,2773,2297,2307,2269,2196
2020,2535,2355,2881,10666,9686,8289,8020,6418,5582,4619,4289,4309
2021,4437,4283,4088,0,0,0,0,0,0,0,0,0